ingredient,calories,protein,fat,carbohydrates,fiber,calcium
Daun salam. bubuk,301,14.2,10.9,49.0,9.4,86.0
Jahe. segar,51,1.5,1.0,10.1,12.0,21.0
Kemiri,675,19.0,63.0,8.0,3.0,80.0
Ketumbar. kering,418,14.1,16.1,54.2,12.3,630.0
Kluwek,310,10.0,24.0,13.5,0,40.0
Kunyit. segar,69,2.0,2.7,9.1,0.6,24.0
Merica. kering,365,11.5,6.8,64.4,1.0,460.0
Pala. biji. kering,518,7.5,36.4,40.1,3.5,120.0
Kelapa muda. air. segar,17,0.2,0.1,3.8,0,15.0
Lemak babi (lard),902,0,100.0,0,0,0.0
Lemak babi (bacon),626,9.1,65.0,1.1,0,13.0
Lemak ikan,372,12.0,29.4,14.4,0,20.0
Lemak kerbau (lemak sapi),818,1.5,90.0,0,0,0.0
Minyak hiu. hati,902,0,100.0,0,0,0.0
Minyak ikan,902,0,100.0,0,0,0.0
Minyak kacang tanah,902,0,100.0,0,0,0.0
Minyak kedelai,883,0,99.9,0,0,0.0
Minyak kelapa,870,1.0,98.0,0,0,0.0
Minyak kelapa sawit,884,0,100.0,0,0,0.0
Minyak wijen,881,0.2,99.7,0,0,10.0
Minyak Zaitun,884,0,100.0,0,0,14.0
Coklat manis. batang,527,2.0,29.8,62.7,6.5,63.0
Coklat pahit.batang,615,5.5,42.6,29.2,10.8,98.0
Coklat susu. batang,565,9.0,35.0,53.6,3.4,200.0
Coklat bubuk,311,8.0,4.0,48.9,32.6,125.0
Gula aren,368,0,0,92.0,0,75.0
Gula kelapa,386,3.0,10.0,76.0,0,76.0
Gula putih,394,0,0,94.0,0,5.0
Jam. selai,239,0.5,0.6,64.5,1.0,20.0
Kopi bubuk instant,129,12.3,0.5,35.0,0,179.0
Madu,294,0.3,0,79.5,0.2,5.0
Markisa squash,217,2.5,1.0,49.6,0,6.0
Markisa squash. BD,104,1.2,0.5,23.7,0,1.0
Melase,276,0,0.1,71.0,0,6.0
Sirup,213,0,0,55.0,0,0.0
Sirup pirous,228,0.2,0.4,55.9,0,470.0
Teh hijau daun kering,300,28.3,4.8,53.6,9.6,245.0
Teh hitam daun kering,293,24.5,2.8,58.8,8.7,327.0
Teh melati daun kering,299,24.1,3.5,59.0,9.7,320.0
Balichong,152,13.2,0.8,22.9,1.5,380.0
Bekasam,116,11.9,4.9,6.1,3.5,704.0
Bekasang,78,11.4,2.0,3.6,0.4,54.0
Cuka,21,0.1,0.1,5.0,0,7.0
Kecap,71,5.7,1.3,9.0,0,123.0
Petis ikan,165,20.0,0.2,20.8,0,37.0
Petis udang kering,345,23.8,1.4,59.3,0,221.0
Petis udang pasta,220,15.0,0.9,38.0,2.3,37.0
Saos tomat,110,2.0,0.4,24.5,0.9,12.0
Tempoya,110,1.7,1.3,21.9,2.6,190.0
Telur bebek. asin. mentah,179,13.6,13.3,4.4,0,120.0
Telur bebek. dadar. masakan,301,20.0,23.7,0,0,71.0
Ikan. telur. asin. mentah,358,20.7,26.4,9.4,0,48.0
Bayau mi balu. masakan,313,6.0,12.2,44.8,0,0.0
Cucuru bayau. masakan,349,6.8,18.7,38.3,0,0.0
Kalio telur. masakan,193,10.6,12.4,9.7,0,148.0
Telur ayam kampung. segar,174,10.8,14.0,1.2,0,68.0
Telur ayam ras. segar,154,12.4,10.8,0.7,0,86.0
Telur ayam ras. bagian kuning. segar,355,16.3,31.9,0.7,0,147.0
Telur ayam ras. bagian putih. segar,50,10.8,0,0.8,0,6.0
Telur bebek alabio. segar,187,11.8,14.2,3.0,0,60.0
Telur bebek. bagian kuning. segar,386,17.0,35.0,0.8,0,150.0
Telur bebek. bagian putih. segar,54,11.0,0,0.8,0,21.0
Telur bebek tambak. segar,187,10.9,12.4,7.9,0,64.0
Telur burung maleo. segar,436,26.5,36.3,0.4,0,154.0
Telur penyu. segar,136,8.6,10.1,2.7,0,66.0
Telur burung puyuh. segar,116,10.7,7.0,1.6,0,65.0
Es krim,210,4.0,12.5,20.6,0,123.0
Hangop,65,10.0,1.0,3.5,0,180.0
Keju,326,22.8,20.3,13.1,0,777.0
Kwark (Quark),242,19.0,17.0,3.0,0,300.0
Susu asam untuk bayi. bubuk,418,19.0,9.0,65.5,0,800.0
Susu bubuk,513,24.6,30.0,36.2,0,904.0
Susu kental manis,343,8.2,10.0,55.0,0,275.0
Susu kental tak manis,138,7.0,7.9,9.9,0,243.0
Susu skim. bubuk,359,35.6,1.0,52.0,0,1.3
Susu skim. segar,36,3.5,0.1,5.1,0,123.0
Yoghurt. segar,52,3.3,2.5,4.0,0,120.0
Kepala susu - krim. segar,204,2.6,20.0,4.0,0,97.0
Susu ibu - ASI,62,1.5,3.2,7.0,0,34.0
Susu kambing. segar,64,4.3,2.3,6.6,0,98.0
Susu kerbau. segar,160,6.3,12.0,7.1,0,216.0
Susu kuda. segar,40,2.0,1.1,5.4,0,0.0
Susu sapi. segar,61,3.2,3.5,4.3,0,143.0
Margarin,720,0.6,81.0,0.4,0,20.0
Mentega,742,0.5,81.6,1.4,0,15.0
Santan (dengan air),122,2.0,10.0,7.6,1.4,25.0
Santan murni,324,4.2,34.3,5.6,0,14.0
Kelapa setengah tua. daging. segar,180,4.0,15.0,10.0,2.4,8.0
Kelapa tua. daging. segar,359,3.4,34.7,14.0,4.7,21.0
Ikan layang. segar,109,22.0,1.7,0,0,50.0
Ikan layur. segar,82,18.0,1.0,0.4,0,48.0
Ikan lehoma. segar,90,20.4,0.9,0,0,88.0
Ikan lemuru. segar,112,20.0,3.0,0,0,20.0
Ikan lidah. segar,104,15.6,3.2,2.0,0,30.0
Lokan. segar,217,11.0,1.7,5.1,0,20.0
Ikan malalugis. segar,99,20.6,1.4,0.9,0,164.0
Ikan mamar merah. segar,115,15.3,4.0,4.4,0,60.0
Ikan mas. segar,86,16.0,2.0,0,0,20.0
Ikan mayong. segar,97,17.9,2.0,0.4,0,40.0
Ikan mujahir. segar,89,18.7,1.0,0,0,96.0
Ikan nasu metti. segar,154,16.8,5.0,10.5,0,80.0
Ikan paling. segar,303,14.0,27.0,0,0,20.0
Ikan papuyu/ betok. segar,120,14.3,4.9,4.6,0,329.0
Ikan Patin. segar,132,17.0,6.6,1.1,0,31.0
Ikan pomo. segar,147,22.5,5.2,2.6,0,80.0
Ikan Puntin. segar,76,14.4,1.1,2.2,0,28.0
Rajungan. segar,76,12.1,2.0,2.4,0,721.0
Rebon. udang kecil. segar,81,16.2,1.2,0.7,0,757.0
Ikan saluang. segar,113,13.9,4.9,3.4,0,642.0
Ikan sarden. segar,109,19.9,1.8,3.4,0,95.0
Ikan selar. segar,100,18.8,2.2,0,0,40.0
Ikan sepat. segar,84,15.2,0.6,4.7,0,68.0
Ikan sidat. segar,81,11.4,1.9,3.8,0,118.0
Ikan sunu. segar,111,13.3,3.4,6.7,0,86.0
Ikan tahuman. segar,88,15.9,0.9,4.1,0,221.0
Ikan Sale. segar,534,40.2,39.3,4.9,2.0,199.0
Ikan tarmon. segar,96,19.5,1.1,2.0,0,9.0
Ikan telan. segar,95,15.8,0.7,6.5,0,503.0
Ikan tembang. segar,204,16.0,15.0,0,0,20.0
Ikan tempahas. segar,101,15.1,4.1,1.0,0,32.0
Ikan terbang. segar,98,19.6,1.7,1.0,0,90.0
Ikan teri. segar,74,10.3,1.4,4.1,0,972.0
Ikan titang. segar,82,17.4,0.4,2.3,0,145.0
Ikan tongkol. segar,100,13.7,1.5,8.0,0,92.0
Ikan turi. segar,96,19.2,2.0,0.2,0,340.0
Udang. besar. segar,56,11.4,0.6,1.2,0,30.0
Udang galah. segar,81,16.5,0.3,3.0,0,87.0
Udang. segar,91,21.0,0.2,0.1,0,136.0
Telur ayam. dadar. masakan,251,16.3,19.4,1.4,0,62.0
Ikan baronang. segar,78,14.5,0.6,3.7,0,26.0
Ikan batung. segar,115,14.5,4.6,4.2,0,0.0
Ikan baung. segar,123,15.1,5.5,3.3,0,5.0
Ikan bawal. segar,91,19.0,1.7,0,0,20.0
Ikan Belida. segar,80,14.7,1.4,2.2,0,303.0
Belut. segar,70,14.6,0.8,1.0,0,49.0
Belut.laut. segar,93,12.8,1.5,6.1,0,60.0
Ikan beunteur. segar,109,17.0,4.0,0,0,500.0
Ikan biawan. segar,90,14.9,2.5,2.1,0,125.0
Ikan bili. segar,88,14.2,0.7,6.2,0,27.0
Ikan bubara. segar,100,14.7,2.4,4.9,0,90.0
Ikan bulan-bulan. segar,134,25.5,1.3,5.0,0,29.0
Ikan. cakalang. segar,107,19.6,0.7,5.5,0,23.0
Ikan cakalang. hati. segar,120,11.3,3.9,10.0,0,30.0
Ikan cakalang. jantung. segar,116,11.2,1.2,10.2,0,10.0
Ikan cakalang. perut. segar,86,10.2,1.1,8.7,0,20.0
Cumi-cumi. segar,75,16.1,0.7,0.1,0,32.0
Ikan daun. segar,101,11.5,4.1,4.6,0,80.0
Ikan ekor kuning. segar,108,22.3,1.2,2.1,0,30.0
Ikan gabus. segar,80,16.2,0.5,2.6,0,170.0
Ikan Heu. segar,81,10.0,1.6,6.6,0,1.91
Ikan hitam. segar,101,10.3,3.7,6.7,0,50.0
Ikan hiu. segar,57,10.7,0.3,2.2,0,75.0
Ikan kacangan. segar,77,15.6,0.9,1.6,0,94.0
Ikan kakap. segar,92,20.0,0.7,0,0,20.0
Ikan kakatua. segar,82,11.4,1.2,6.4,0,20.0
Ikan kalaban. segar,77,16.4,0.7,1.3,0,182.0
Ikan Kamera. segar,86,19.7,0.8,0,0,50.0
Ikan kapar. segar,132,17.0,6.7,0.8,0,151.0
Ikan kawalinya. segar,110,12.6,4.2,5.4,0,80.0
Ikan oci. kembung. segar,125,21.3,3.4,2.2,0,136.0
Keong. segar,64,12.0,1.0,2.0,0,217.0
Kepiting. segar,151,13.8,3.8,14.1,0,210.0
Kerang. segar,101,14.4,2.6,3.9,0,321.0
Ikan keru-keru. segar,93,16.5,2.1,0.8,0,65.0
Ikan kima. segar,70,10.8,0.7,5.2,0,53.0
Kodok. segar,73,16.4,0.3,0,0,18.0
Kura-kura. segar,83,19.1,0.2,0,0,27.0
Kuro. segar,87,16.0,2.2,1.0,0,75.0
Ikan lais. segar,161,11.9,11.5,2.4,0,70.0
Fillet o-fish,270,12.3,15.9,19.3,0.2,239.0
Gete kuah asam. masakan,75,8.2,2.0,6.0,0,1.62
Gulai asam keueung. masakan,52,10.0,0.5,1.8,0,62.0
Gulai ikan paya. masakan,148,10.0,9.8,5.0,0,103.0
Gulai ikan. masakan,106,16.5,3.3,2.5,0,306.0
Gulai keumamah. masakan,110,5.9,8.2,3.2,0,32.0
Gulai tiram. masakan,132,9.0,7.2,7.8,0,53.0
Gurame asem manis. masakan,192,12.7,10.1,12.7,0,283.0
Ikan asar merah. masakan,146,17.7,5.9,5.6,0,100.0
Jambal goreng,286,48.5,9.2,2.3,0,207.0
Jukku pallu kaloa. masakan,15,15.2,4.3,8.8,0,40.0
Kaholeo. masakan,413,28.7,19.8,29.8,0,909.0
Lawara penjah. masakan,207,7.4,15.4,9.6,0,114.0
Model. masakan,79,2.2,4.0,8.6,0,8.0
Mujahir acar kuning. masakan,330,17.8,23.4,12.1,1.1,154.0
Parede baleh. masakan,87,10.5,2.5,5.5,0,35.0
Pempek adaan,162,4.9,3.0,27.8,0,26.0
Pempek belida,156,4.2,1.4,31.6,0.2,100.0
Pempek kapal selam,152,4.5,2.3,28.2,0,19.0
Pempek kelesan,211,12.3,6.1,26.6,0.4,840.0
Pempek kulit,243,5.2,7.3,39.1,0,16.0
Pempek telur,156,4.7,2.7,28.3,0,13.0
Pempek tenggiri,173,7.2,1.2,33.4,0.2,164.0
Pencok lele. masakan,372,7.8,36.3,3.5,0,289.0
Pinda. masakan,107,15.9,0.6,0.4,0,375.0
Pindang kenari. masakan,124,9.5,9.6,0,0,120.0
Saboko gurita. masakan,87,15.7,1.5,2.6,0,60.0
Saboko saltan. masakan,113,17.1,3.6,3.0,0,240.0
Saboko sardin. masakan,110,12.9,4.3,4.9,0,220.0
Sate Bandeng,283,12.1,16.8,20.9,2.0,118.0
Sepi. masakan,88,7.9,1.6,10.6,0,924.0
Tekwan,53,1.9,0.9,9.4,0,9.0
Teri balado. masakan,365,23.7,22.3,17.5,0,869.0
Tumis bandeng,189,11.3,15.7,0.6,0,56.0
Tumis keumamah,300,14.5,20.0,15.5,4.5,0.0
Ikan bader. segar,193,19.0,13.0,0,0,48.0
Ikan balong. segar,107,16.5,3.9,1.5,0,54.0
Ikan bambangan. segar,112,20.0,1.3,3.7,0,98.0
Ikan bandeng. segar,123,20.0,4.8,0,0,20.0
Ikan banjar. segar,111,19.4,0.9,4.8,0,68.0
Ikan Mujahir pepes,121,21.7,2.8,0.8,0,83.0
Ikan mujahir. dendeng. mentah,582,68.3,15.2,37.2,0,3.258
Ikan Papuyu. bakar,152,17.6,6.1,6.7,0,244.0
Ikan Patin. bakar,144,17.5,6.3,4.3,0,191.0
Ikan peda banjar. mentah,156,28.0,4.0,2.0,0,174.0
Ikan pepetek. mentah,176,32.0,4.4,2.0,0,120.0
Ikan Pindang banjar. mentah,157,28.0,4.2,1.8,0,50.0
Ikan Pindang benggol. mentah,170,31.0,4.2,0,0,50.0
Ikan Pindang layang. mentah,153,30.0,2.8,0,0,60.0
Ikan Pindang selar. mentah,142,27.0,3.0,0,0,60.0
Ikan sale lais. mentah,415,61.3,17.6,2.9,0,258.0
Ikan saluang. kering. mentah,284,34.1,9.9,14.6,0,1.426
Ikan sanggang. masakan,240,21.7,7.7,20.7,0,159.0
Ikan selar kuning. cue. mentah,138,27.0,3.3,0,0,50.0
Ikan selar. kering. mentah,194,38.0,3.5,0,0,20.0
Ikan sepat. kering. mentah,289,38.0,14.0,0,0,40.0
Ikan sunu. asin. mentah,199,34.1,3.8,7.1,0,94.0
Ikan. tepung. mentah,316,60.1,6.5,22.4,0,3.196
Ikan Teri nasi. kering. mentah,144,32.5,0.6,0,0,1.0
Ikan Teri. bubuk. mentah,277,60.0,2.3,1.8,0,1.209
Ikan teri. kering. mentah,170,33.4,3.0,0,0,1.2
Ikan Teri. kering. tawar. mentah,331,68.7,4.2,0,0,2.381
Ikan Teri. tepung. mentah,347,48.8,6.4,19.6,0,4.608
Kerang. asap. mentah,393,38.9,13.3,29.4,0,420.0
Kerang. dendeng. mentah,357,41.1,10.0,25.6,0,217.0
Rebon. kering. mentah,299,59.4,3.6,3.2,0,2.306
Rebung laut. mentah,320,7.2,4.2,63.3,0,240.0
Rusip,110,11.5,2.0,11.7,0,479.0
Sardines dalam kaleng,338,21.1,27.0,1.0,0,354.0
Teripang. dendeng. mentah,462,39.1,32.4,3.5,0,499.0
Udang kering. mentah,278,62.6,4.1,2.2,0,760.0
Udang papay. mentah,273,47.8,3.8,12.5,0,1.109
Abon haruwan,513,23.7,37.0,21.3,0,25.0
Abon ikan,435,27.2,20.2,36.1,0,0.0
Betok wadi. masakan,145,16.3,7.0,4.1,0,405.0
Bou ninahu ndamate. masakan,79,6.3,1.0,1.1,0,0.0
Bouiki ninahu nggaluku. masakan,94,7.8,2.2,10.8,0,0.0
Cakalang asar (asap papua),155,20.1,3.8,10.2,0,20.0
Dendeng belut. goreng,382,55.7,14.1,8.0,0,1.069
Dendeng mujahir. goreng,598,74.3,26.9,9.2,0,1.957
Burung. sarang. segar,281,37.5,0.3,32.1,0,485.0
Domba. daging. gemuk. segar,317,15.7,27.7,0,0,9.0
Domba. daging. kurus. segar,202,17.1,14.8,0,0,10.0
Domba. ginjal. segar,100,16.6,3.3,1.0,0,13.0
Kambing. daging. segar,149,16.6,9.2,0,0,11.0
Kelinci. daging. segar,142,16.9,7.8,0,0,7.0
Kerbau. daging. segar,79,18.7,0.5,0,0,14.0
Kuda. daging. segar,113,18.1,4.1,0.9,0,10.0
Sapi. babat. segar,108,17.6,4.2,0,0,12.0
Sapi. daging. gemuk. segar,273,17.5,22.0,0,0,10.0
Sapi. daging. kurus. segar,174,19.6,10.0,0,0,11.0
Sapi. daging. lemak sedang. segar,201,18.8,14.0,0,0,11.0
Sapi. daleman. segar,183,12.0,14.4,1.4,0,43.0
Sapi. dideh/darah,98,21.9,1.1,0,0,7.0
Sapi. ginjal. segar,137,15.0,8.1,0.9,0,9.0
Sapi. keleponan. segar,84,10.5,4.6,0.2,0,20.0
Sapi. liver. segar,132,19.7,3.2,6.0,0,7.0
Sapi. otak. segar,123,10.4,8.6,0.8,0,16.0
Sapi. usus. segar,126,14.0,7.2,1.5,0,14.0
Ulat sagu segar,241,5.8,21.6,5.8,2.8,20.0
Bekicot. dendeng. mentah,441,48.7,20.3,15.8,0,692.0
Belut. goreng,417,25.9,19.4,32.0,0,840.0
Cumi-cumi. goreng,265,40.6,10.1,0,0,62.0
Ikan asin. kering,193,42.0,1.5,0,0,200.0
Ikan bandeng presto. masakan,296,17.1,20.3,11.3,0,1.422
Ikan baung bakar,144,17.8,5.8,5.2,0,18.0
Ikan Belida bakar,128,18.0,3.0,7.2,0,58.0
Ikan cakalang asap. mentah,204,34.2,5.6,1.9,0,14.0
Ikan cakalang asin. mentah,198,36.5,2.2,5.5,0,236.0
Ikan calo/ peda. mentah,81,11.4,1.9,3.8,0,743.0
Ikan Gabus asap. mentah,261,38.1,2.3,21.9,0,2.51
Ikan Gabus. kering,268,58.0,4.0,0,0,15.0
Ikan gete. goreng,267,23.1,19.4,0.2,0,2.34
Ikan hiu. kering,298,46.3,3.6,20.2,0,335.0
Ikan katombo. asin,162,31.7,2.8,0.3,0,279.0
Ikan kayu. kering,302,70.7,1.9,0.4,0,313.0
Ikan Lais bakar,147,17.5,6.5,5.4,0,54.0
Ikan lomak asin. mentah,258,40.3,2.3,18.9,0,140.0
Ikan Mas pepes,209,15.2,11.3,11.8,0.5,686.0
Ikan mujahir goreng,416,46.9,23.9,0,0,346.0
RW. anjing. masakan,198,24.6,10.7,0.9,0,1.071
Sate. penyu. masakan,179,22.5,3.5,13.3,0,187.0
Sate pusut. masakan,274,12.9,18.6,13.6,0,63.0
Penyu. serapah. masakan,174,13.1,12.2,2.2,0,72.0
Sie reuboh. masakan,474,11.2,42.5,11.7,0,26.0
Sop buntut. masakan,71,7.5,3.6,2.2,0,286.0
Sop daging sapi. masakan,49,5.8,0.5,5.3,0,158.0
Sop kaki sapi. masakan,68,9.0,1.9,3.7,0,302.0
Sop kambing. masakan,34,5.5,0.8,1.1,0,145.0
Sop konro. masakan,71,7.4,2.6,4.5,0,17.0
Sop saudara. masakan,89,7.2,5.0,3.9,0,10.0
Soto bandung. masakan,42,3.9,1.7,2.8,0.4,74.0
Soto banjar. masakan,110,2.9,9.5,3.2,0,28.0
Soto betawi. masakan,135,2.5,8.8,11.5,0.5,222.0
Soto jeroan. masakan,92,11.8,4.3,1.4,0,218.0
Soto kudus. masakan,38,2.6,2.3,1.8,0.2,237.0
Soto madura. masakan,60,3.5,4.5,1.3,0,361.0
Soto padang. masakan,127,5.9,6.6,11.0,0.7,298.0
Soto pekalongan. masakan,94,3.0,6.8,5.1,0.3,322.0
Soto pemalang. masakan,75,3.6,5.2,3.5,0,170.0
Soto sukaraja. masakan,80,3.2,3.5,9.0,0.3,347.0
Soto sulung. masakan,86,2.3,8.5,0,0,200.0
Sukiyaki. masakan,75,5.6,0.4,12.2,0.2,109.0
Tedong pallu basa. masakan,83,10.4,3.4,2.8,0,10.0
Tikus rica. masakan,257,18.8,18.5,3.8,0,232.0
Tinoransa. masakan,516,17.7,49.5,0,0,698.0
Anak sapi. daging. gemuk. segar,184,18.8,14.0,0,0,10.0
Anak sapi. daging. kurus. segar,174,19.6,10.0,0,0,11.0
Anak sapi. daging. sedang. segar,190,19.1,12.0,0,0,11.0
Angsa. daging. segar,349,16.4,31.5,0,0,15.0
Ayam. daging. segar,298,18.2,25.0,0,0,14.0
Ayam. dideh/darah. segar,75,13.8,1.9,0.7,0,15.0
Ayam. hati. segar,261,27.4,16.1,1.6,0,118.0
Babi. daging. gemuk.segar,453,11.9,45.0,0,0,7.0
Babi. daging. kurus. segar,371,14.1,35.0,0,0,8.0
Babi. ginjal. segar,110,16.3,4.6,0.8,0,11.0
Babi. hati. segar,129,19.7,4.8,1.7,0,10.0
Bebek (itik). daging. segar,321,16.0,28.6,0,0,15.0
Bebek alabio. daging. segar,303,11.3,27.0,3.7,0,20.0
Belibis. daging. segar,131,20.2,4.3,2.8,0,8.0
Ayam goreng church texas. sayap,295,34.0,16.0,1.5,0,81.0
Ayam goreng kalasan. paha,275,37.4,12.2,1.3,0,116.0
Ayam goreng kentucky. dada,298,34.2,16.8,0.1,0,90.0
Ayam goreng Kentucky. paha,286,32.1,16.1,1.1,0,89.0
Ayam goreng Kentucky.sayap,297,35.9,15.2,1.6,0,103.0
Ayam goreng mbok berek dada,295,39.2,13.6,1.0,0,114.0
Ayam goreng pasundan. dada,246,37.9,9.0,0.7,0,90.0
Ayam goreng pasundan. paha,245,33.1,11.4,0.3,0,90.0
Ayam goreng pioneer. dada,295,37.4,14.7,0.6,0,108.0
Ayam goreng sukabumi. dada,244,36.7,9.2,1.0,0,81.0
Ayam goreng sukabumi. paha,283,35.7,14.3,0.5,0,68.0
Ayam taliwang. masakan,264,18.2,20.1,2.7,0,94.0
Babi hutan masak rica. masakan,491,24.6,16.3,0.2,0,18.0
Beef burger,258,10.6,9.5,32.5,0.4,210.0
Beef teriyaki. masakan,151,8.6,3.1,22.3,0.3,142.0
Beef yakiniku. masakan,132,9.8,1.1,20.7,0.3,302.0
Brongkos,141,15.3,3.3,12.6,1.0,87.0
Bulgogi. masakan,72,11.4,4.9,1.4,1.7,214.0
Chicken teriyaki. masakan,168,13.0,9.6,7.5,0.8,137.0
Chikiniku. masakan,143,9.8,1.4,22.8,0.4,301.0
Coto mangkasara. kuda. masakan,96,6.8,5.9,3.8,0,11.0
Coto mangkasara. sapi. masakan,84,6.0,6.0,1.4,0,8.0
Djibokum. masakan,248,10.0,2.3,40.9,0.1,116.0
Empal (daging) Goreng. masakan,248,36.2,6.9,10.1,0,131.0
Gulai kambing,126,4.2,9.4,6.2,0,45.0
Jangang bintatoeng. masakan,107,5.3,2.2,16.5,0,64.0
Kalio ayam. masakan,203,16.0,13.5,4.4,0,278.0
Kalio jeroan. masakan,163,16.5,9.0,4.1,0,102.0
Kalio kikil (tunjang). masakan,122,13.8,5.7,3.9,0,154.0
Kalio otak. masakan,157,8.1,8.8,11.4,0,212.0
Lawar babi. masakan,174,17.0,10.0,3.0,0,61.0
Lawar penyu. masakan,141,23.0,1.5,7.6,0,69.0
Lawara jangang. masakan,159,5.0,10.9,10.1,0,57.0
Naan maran sapi. masakan,478,38.3,33.9,5.1,0,30.0
Nasu likku. masakan,196,14.5,8.3,15.9,0,69.0
Oramu ninahu ndawa olaho. masakan,117,13.7,5.0,4.3,0,964.0
Paniki masak santan. masakan,460,28.5,35.2,7.2,0,188.0
Pelolah manuk. masakan,219,19.7,13.6,4.4,0,33.0
Rawon. masakan,60,5.4,2.5,4.0,0.3,272.0
Rendang sapi. masakan,193,22.6,7.9,7.8,0,474.0
Rambutan. segar,69,0.9,0.1,18.1,0.8,16.0
Salak bali. segar,57,0.5,0.1,13.6,1.3,94.0
Salak medan. segar,55,0.4,0.2,12.8,3.2,6.0
Salak pondoh. segar,87,0.8,0.4,20.1,0,38.0
Salak. segar,77,0.4,0,20.9,0,28.0
Sawo duren. segar,64,1.0,3.1,8.0,0.8,18.0
Sawo kecik. segar,111,0.9,2.3,21.6,1.0,20.0
Sawo Manila. segar,92,0.5,1.1,22.4,9.5,25.0
Semangka. segar,28,0.5,0.2,6.9,0.4,7.0
Sirsak. segar,65,1.0,0.3,16.3,3.2,14.0
Sowa. segar,48,1.6,0.6,9.1,45.0,50.0
Srikaya. segar,63,1.1,0.5,13.9,2.1,127.0
Sukun muda. segar,119,1.4,0.2,28.1,1.4,24.0
Sukun tua. segar,126,1.6,0.2,24.5,1.5,37.0
Vigus. segar,44,2.4,0.1,8.3,0,30.0
Wani. segar,74,0.8,0.3,17.1,3.1,66.0
Mentimun Suri. segar,16,1.3,0.0,2.1,0.9,768.0
Blewah. segar,34,0.8,0.2,8.2,0.9,9.0
