Title,ingredients_list,category
Udang goreng tepung,"['/5 kg udang besar', 'minyak untu menggoreng', 'saos sambal', 'penyedap rasa', 'adonan basah;', 'air es', 'adonan kering;', 'tepung bumbu', 'penyedap rasa']",udang
Udang asam manis,"['/2 kg udang jerbung', 'secukupnya saos tomat', 'secukupnya saos cabai', 'gula garam dan penyedap', 'secukupnya minyak goreng', '/2 bks saori']",udang
Udang Saus Telor Asin,"[', kupas & sisakan ekornya', '/4 sdt garam', '/4 sdt merica', ', haluskan', '/4 sdt kaldu bubuk, bisa diskip bila dirasa asinnya pas', ', cincang halus', '/4 sdt gula', 'secukupnya minyak goreng']",udang
Udang sawi saori saus tiram😆😆,"['/4 udang', 'bumbu dasar tentunya udh pda tau', 'bawang merah/putih', 'cabe merah rawit', 'tomat salam sereh', 'semua bumbu secukupnya diris']",udang
"Tumis kacang panjang,udang,tahu","['/4 kg udang', 'bumbu halus :', 'secukupnya garam', 'secukupnya gula', 'secukupnya penyedap rasa']",udang
Udang Goreng Saus Telur Asin,"['/4 kg udang kupas', 'kaldu bubuk', 'mentega', 'secukupnya air']",udang
Udang Sambal Petai (Sangat Sederhana),"['/4 kg udang', 'petai 1 keris', 'minyak secukupnya untuk menumis', 'sesuai selera gula garam', 'bumbu halus', '/2 blok terasi goreng abc', 'secukupnya air']",udang
Udang Saus Asam Manis 🍤,"['/2 kg udang uk besar', 'secukupnya garam dan gula pasir', 'secukupnya air']",udang
Daun Singkong Pepes Udang Tahu #praktis,"['★ bumbu halus', 'secukupnya gula, garam, lada', '★ bahan isi', ', rebus', ', lumat', ', iris2', ', iris2', 'secukupnya garam dan kaldu bubuk', 'daun pisang']",udang
Udang Saus Tiram,"['/2 kg udang', 'bumbu saus :', 'daun bawang', 'secukupnya garam', 'margarin untuk menumis', 'air']",udang
Sambal jeki udang,"['secukupnya minyk goreng', 'secukupnya garam', 'secukupnya gula']",udang
Udang goreng tepung sederhana,"['/4 udang segar', 'tepung bumbu sasa', 'sedikit bubuk lada', 'sedikit garam']",udang
Siomay Ayam Udang,"[', blender', ', blender bersama ayam', ', sisihkan sedikit u/ taburan', 'garam', 'merica', 'kulit siomay']",udang
Sambel Goreng Udang Tahu,"['/2 siung bombay', 'secukupnya gula', 'secukupnya garam']",udang
Tumis Udang tempe kacang panjang,"[', potong kecil2', ', buang kulit dan kepala lalu cuci bersih', ', potong2', ', iris', '/2 siung bawang bombay, iris', ', potong 2', ', iris', '/2 sdm saus tiram', '/2 sdm kecap manis', '/2 sdm saos tomat', 'sedikit garam dan gula', 'minyak untuk menggoreng']",udang
Udang Lombok Merah,"['/4 kg udang, buang bagian kepalanya', 'minyak untuk menumis']",udang
Tumis Labu Udang,"['udang kupas', 'daun salam', 'royco/garam gula pasir', 'saos tiram', 'merica', 'secukupnya air', 'bumbu isi:', '.merah', '.putih', 'tomat boleh pake boleh engga']",udang
Martabak telur udang,"['/2 wortel', '/4 kol', 'bumbu halus:', '/2 sendok makan merica', 'secukupnya garam', '/4 sendok makan royco']",udang
Tumis udang sayur,"['secukupnya jamur hitam', 'secukupnya selada', 'secukupnya gula garam lada']",udang
Asam manis Udang tahu,"['/2 kg udang', '/2 bawang bombay besar', '/2 tomat besar', 'gula sckupnya', 'garam scukupnya', 'air']",udang
Cah buncis udang cumi _ menudiet DEBM,"['/2 ruas jahe cincang', 'lada', 'air se cukup nya']",udang
Tahu ayam udang,"['sedikit daun bawang', '/tapioka', 'garam', 'lada', 'penyedap']",udang
Udang Tumis Cabe Ijo,"['bahan:', '/2 kg udang pacet', '/2 siung bawang bombay', '/ lemon', 'secukupnya air', 'secukupnya minyak goreng']",udang
Tumis kacang panjang+udang,"['/2 kg kacng panjng', ',sisa ujung ekor saja', 'tauco secukup ny,[boleh skip kalau gak suka]', 'air secukup ny buat tumis']",udang
Udang Kentang Balado,"['/5 kg udang', 'cabai merah', 'bawang merah', 'bawang putih', 'tomat', 'garam', 'penyedap rasa', 'gula']",udang
Udang goreng tepung mentega,"['/4 kg udang cuci brsh & buang kplanya', '&cookie', 'minyak goreng sckpnya', '👉bumbu untuk udangnya', 'sdkt garam, lada bubuk&roico']",udang
Udang Sambel Terasi,"['gula putih', 'garam', 'merica', '/2 gelas air', 'bumbu ulek/blender:']",udang
Udang lada hitam,"[',5 sdm kecap manis', 'secukupnya penyedap rasa', 'secukupnya air']",udang
Perkedel Udang,"['udang kupas sisakan buntutnya', '/2 sdm garam', '/4 sdm royco ayam', '/2 sdm gula', '/4 sdm lada bubuk', '/4 sdm pala bubuk', 'bahan pelapis', 'secukupnya tepung panir']",udang
"Tumis tempe, udang,ati ampela","['/4 udang', 'cabe rawit 10 biji', 'secukupnya garam', 'secukupnya gula', 'kaldu ayam bubuk q pake royco', 'tepung bumbu seba guna', 'secukupnya minyak goreng']",udang
Udang Saus Tiram,"['paprika', 'cabe hijau', '/2 sdt garam halus', '/2 sdt merica bubuk']",udang
Sambel udang pete,"['garam dan gula, minyak untuk menumis secukupnya saja', 'bumbu halus :']",udang
Cah udang dan kol,"[', belah dua bagian', ', sisakan ekornya belah punggungnya', ', cincang halus', ', larutkan', 'secukupnya air']",udang
Tumis Udang saos tiram pedas,"['/nipis', ', potong2', '/2 bawang bombay', '/margarin', 'secukupnya garam']",udang
Memanfaatkan sampah udang,['secukupnya garam'],udang
Oseng Tempe Kacang Panjang Udang,"[', potong seukuran korek', ', potong korek & goreng', ', buang kepala', '-7 siung bawang merah, iris2', ', geprek', ', iris serong', ', geprek', 'secukupnya gula pasir, garam & kaldu bubuk', 'secukupnya air', 'sedikit minyak utk menumis']",udang
Tumis Pokcoy Udang,"[', potong2', ', potong korek', ', buang kepala', ', geprek', '/2 siung bawang bombay, iris2', 'secukupnya air', 'secukupnya gula pasir & garam', 'sedikit minyak utk menumis']",udang
Udang tepung oatmeal telor asin,"['/2 kg udang agak besar', 'secukupnya jamur totole', 'secukupnya garam', 'merica', 'minyak goreng', 'bahan tepung :', '/4 tepung oatmeal utk lapisan kering']",udang
Siomay Ayam Udang,"[', cincang', '/labu siam, potong dadu', ', potong dadu', '/sagu tani', ', haluskan', ', haluskan', 'secukupnya gula, garam & lada bubuk', ', parut untuk topping']",udang
Tumis Pare dengan udang,"['udang uk kecil', 'daun salam', 'bumbu halus :', 'bawang merah', 'bawang putih', 'cabe rawit']",udang
Lempah Kuning Udang,"['/4 buah nanas', '/2 bungkus asam jawa, larutkan d air', 'secukupnya garam, gula', 'bumbu halus']",udang
Tumis udang kikil,"['/2  tomat', 'bawang bombay', 'cabe rawit & cabe merah', 'garam & penyedap rasa', 'saus sambal', 'saus tomat', 'daun salam, lengkuas & jahe', 'minyak goreng', 'saus tiram', 'kecap', 'air']",udang
Bubur udang asparagus saos madu,"['-3 bagian', '-6 sdm madu', 'garam', 'lada hitam', 'gula']",udang
Udang Bakar Madu,"[',pilih yang besar', 'sedikit lada bubuk', 'sedikit kaldu bubuk', '-2 iris jeruk nipis/ lemon']",udang
Udang Rica Pedas,"['bumbu uleg kasar:', 'secukupnya garam', 'secukupnya gula']",udang
Tumis Jamur Tiram Udang,"['beberapa ekor udang, bersihkan', 'lada bubuk', 'kecap asin', 'saos tiram', 'garam', 'minyak wijen']",udang
Sambal Goreng Kentang Udang,"['cabai rawit 2', '/2 tomat', '/2 terasi udang', '/4 udang', 'gula', 'garam']",udang
Udang Bakar Madu 🍤,"['🍤 bahan utama:', '🍤 bumbu marinasi:', '/4 sdm kunyit bubuk', 'secukupnya gula', 'secukupnya garam', '🍤 bumbu oles:', 'secukupnya madu', 'secukupnya kecap manis', 'secukupnya margarin/ mentega tawar']",udang
"Udang, Tempe, Terong balado","['garam', 'gula', 'kecap manis']",udang
Udang sambal pete,"[',5 kg udang', ',5 ons cabe kering', 'secukupnya garam dan penyedap', 'minyak goreng secukupnya utk menumis']",udang
Udang,"['/2 kg udang', 'minya goreng', 'daun bawang', 'sesuai selera cabai2an', 'merica', 'dikit jahe']",udang
Kwetiaw Udang,"['-300 gr kwetiau basah', 'wortel potong korek api', 'secukupnya garam', 'secukupnya merica', 'bumbu :']",udang
Tahu Udang Tauco,"[', kupas sisakan ekornya, cuci bersih', ', potong kotak, goreng 1/2 matang', 'bumbu halus :', 'bahan lainnya :', 'secukupnya garam']",udang
Udang goreng mentega simple,"['/4 udang buang kepalanya', 'secukupnya kecap asin', 'secukupnya kecap manis']",udang
Ca buncis brokoli udang wortel,"['/4 kg buncis', '/4 udang sedang', '/4 sendok teh merica bubuk', 'minyak secukupnya untuk menumis', '/2 sendok teh gula putih']",udang
Udang saus inggris,"['gula', 'garam', 'merica secukupnyaa', 'bahan sausya', '/2 sdm saus tomat']",udang
Udang saus tiram,['/2 udang kupas'],udang
Bakso Sapi & Udang cah Paprika,"['iris kasar', '/2 bawang bombay ukuran besar', '/2 sdt kecap ikan', '/2 sdt royco rasa sayuran', '/2 cup air matang', 'sejumput garam', '/2 sdt cabai kering', ',5 minyak goreng']",udang
Perkedel Tahu Udang,"['secukupnya udang cincang kasar/potong kecil2', '/ tepung serbaguna', 'secukupnya garam', 'secukupnya lada', 'secukupnya tepung panir/tepung bumbu untuk melapisi']",udang
Sup oyong udang,"['/4 udang', '/ misoa', '/2 belah tomat', '/4 sdt lada bubuk', ', cincang halus', 'secukupnya gula, garam dab kaldu bubuk']",udang
Balado kentang+udang,"['/2 kg udang sedang', '/4 kg cabe kriting merah dan rawit merah', 'secukupnya garam']",udang
Udang macaroni,"['secukupnya brokoli', 'garam', 'kaldu ayam non msg', 'bawang bombai rajang halus', 'bawang putih rajang halus']",udang
Udang goreng pedas gurih,"['/4 udang segar', 'secukupnya minyak goreng,']",udang
Tumis kangkung udang terasi pedas,"['/4 udang', '/4 butir bawang bombai', 'secukupnya garam', 'secukupnya gula pasir', 'minyak untuk menumis', 'secukupnya air', 'saori']",udang
Tumis Udang dan Tahu,"[', buang kepala', ', goreng smpe berkulit', '/4 buah wortel, potong korek api', '/2 biji bawang bombay, iris memanjang', ', geprek', ', potong serong', ', potong tebal', 'secukupnya garam dan air']",udang
Tumis Udang Pete n Daun Putut,"['/4 kg udang yg udh dibersihkan', '/ sesuai selera', '/ grm biasa', '/2 sdt kaldu jamur totole', 'sedikit gula tropicana / gula jawa', '/2 gelas kecil air putih']",udang
Udang crispy,"['tepung serba guna', 'minyak']",udang
Udang Tumis cabai hijau,"['udang 1 kg buang ujung kepala', 'bumbu bumbu', 'garam', 'totole']",udang
Tumis buncis udang pedas simpel,"['/4 kg udang', 'bumbu:', 'garam,gula,penyedap', 'secukupnya air']",udang
Udang simpel,"['secukupnya garam', 'secukupnya tumbar bubuk', 'secukupnya minyak']",udang
Udang Saos padang,"['daun bawang', 'kaldu bubuk', 'secukupnya gula pasir', '✨bumbu halus']",udang
Udang Balado,"['/4 kg udang', '.besar, potong dadu', ', iris tipis', '/2 buah tomat, belah memanjang', ', ambil airnya :', 'sebagian untuk rendaman udang, sebagian untuk balado', 'secukupnya garam', 'secukupnya minyak goreng']",udang
Udang pete saus kecap,"['kecap manis', 'kecap asin', 'saus tiram', 'garam', 'gula pasir', 'lada putih', 'tepung maizena', 'air putih', 'margarin/minyak goreng untuk menumis']",udang
Balado Udang Pete,"['/4 udang', 'secukupnya minyak', 'secukupnya garam', 'secukupnya penyedap']",udang
Udang Saus Mentega,"[', buang kepalanya', '/2 sdt merica bubuk', 'secukupnya garam', 'secukupnya gula', 'secukupnya kaldu bubuk']",udang
Udang saos padang,"['udang kupas kulitnya', '/2 butir bawang bombay', 'sedikit jahe', 'daun bawang', 'garam', 'gula']",udang
Udang goreng mentega,"[', potong sesuai selera', ',geprek cincang halus', '/ garam / kaldu bubuk', 'secukupnya mentega', 'secukupnya minyak goreng']",udang
Udang Goreng Mentega,"['/4 kg udang', '/margarin', 'garam', 'gula pasir']",udang
Udang goreng tepung,"['/4 kg udang segar ukuran sedang', '/4 minyak goreng']",udang
Udang saus tiram (menu balita 28bulan),"['secukupnya garam', 'secukupnya lada bubuk', 'sedikit larutan maizena']",udang
Udang Saos Tiram,"[', belah punggung', '/2 buah wortel, potong korek', ', iris serong', ', cincang halus', ', iris serong', 'secukupnya merica bubuk', 'secukupnya air']",udang
Sosis Udang,"['secukupnya garam, merica bubuk, gula']",udang
Nasi goreng udang pete,"['sesuai selera pete', 'sesuai selera udang', 'minyak goreng secukupny', 'garam']",udang
Siomay Udang Sambal Kecap,"['bahan siomay:', '/4 kg udang kupas', ', serut', 'garam sckp', 'bahan sambal:']",udang
Udang saus tiram,"['/4 kg udang galah buang kepala', '/2 bawang bombay iris tipis', '/2 sdt garam', 'secukupnya air panas']",udang
Udang goreng tepung,"['secukupnya minyak goreng', 'tepung bumbu']",udang
Udang Goreng Crispy,"['/2 kg udang cabut kepala', 'bumbu rendaman:', 'garam', 'kecap ikan', 'saos tiram', 'baluran tepung:', 'garam', 'merica', 'bubuk bawang putih']",udang
Udang Balado,"['pete', 'sejumput gula/ kaldu bubuk', 'bumbu halus:', 'sejumput garam']",udang
Udang telur asin,"['🍤 bahan utama🍤', '-4 butir telur asin', '🍤 bumbu iris🍤', '🍤bumbu tepung🍤', '🍤 bahan lainnya🍤', 'margarine n minyak utk menumis n menggoreng', 'secukupnya garam, gula pasir, lada']",udang
Misoa udang (batita),"['/2 tomat', 'secukupnya garam', '/2 genggam toge', 'kaldu udang dari kepala udang basah direbus dan disaring']",udang
Tom Yam Udang + Sayur,"[', geprek', ', geprek', ', geprek', 'bumbu yang dihaluskan :', 'secukupnya garam', 'secukupnya gula']",udang
Udang baso ikan praktis pedas,"['bumbu halus', 'merica', 'garam', 'pelengkap', 'minyak untuk menumis']",udang
Sayur udang kuah santan,"['/4 udang kupas kulitnya kasih air jeruk nipis', '(potong memanjang', 'lengkuas geprek', 'jahe geprek', 'secukupnya gula', 'secukupnya garam']",udang
Shrimp Ball,"['tepung maizena', 'minyak wijen', 'merica', 'garam', 'roti tawar', 'putih telur']",udang
Cah brokoli udang saus mentega (saori),"['/4 bawang bombay', 'margarin']",udang
Geneman urang (udang),"['beberapa lembar daun pisang', 'secukupnya garam', 'bumbu halus :', '/2 sdtlada bubuk', '/3 sdt kencur bubuk', '/2 bungkus penyedap rasa']",udang
Udang goreng kencur,"['/4 kg udang sedang buang kepala', 'bahan halus', '/2 ruas kunyit', '/2 sdm ketumbar', '/2 ruas kencur', '/4 ruas jahe']",udang
Balado Udang,"['secukupnya garam, gula, penyedap']",udang
Udang balado saus pasta,['/4 udang'],udang
Tumis Udang Cabe Ijo,"['-potong', '/2 sdm gula', 'secukupnya minyak untuk menumis', 'royco secukupnya']",udang
Udang pete,"['bumbu rajang :', '/4 bagian paprika hijau', 'bumbu :']",udang
Udang saus asam manis,"['/2 kg udang', '/2 btr bawang bombay uk besar, kalau sedang boleh 1 btr', '/2 sdt garam', '/2 sdt kaldu bubuk', 'secukupnya air']",udang
Udang goreng tepung asam manis,"['/4 udang', '/4 tepung terigu/tepung bumbu instan', 'merica bubuk', 'saus tiram', 'garam', 'penyedap', 'sesuai selera gula pasir', 'sedikit air']",udang
Udang Goreng Tepung,"['bahan pencelup :', '-3 sdm terigu', 'garam', 'kaldu bubuk', 'merica bubuk', 'bahan baluran tepung:', 'secukupnya garam', 'sdt kaldu bubuk1/2', 'sdt lada bubuk1/4', '/2 sdt bawang putih bubuk', 'sedikit kunyit bubuk']",udang
Tumis Buncis Udang,"['bumbu:', 'gula', 'garam', 'penyedap']",udang
Tumis Udang x Jagung Buncis Pete,"['/2 buah bawang bombai', ', aku potong kecil2', ', iris kalau ingin pedasnya lebih kerasa', 'secukupnya merica', '/2 sdt garam', 'secukupnya penyedap rasa ayam']",udang
Perkedel tahu udang,"[': merk kobe', ', buang tangkainya iris halus', ', geprek cincang', '/2 gelas air', 'sejumput garam untuk udang']",udang
Udang Goreng Mentega Gurih,"['/4 kg udang putih ukuran kecil dan sedang', ', iris tipis', ', iris tipis', '/2 bawang bombai ukuran sedang, iris tipis', 'secukupnya garam', 'secukupnya gula']",udang
Udang tempe kuah santan,"['/4 kg udang besar kupas', 'secukupnya tempe', '/2 santan kara', 'bumbu halus :', 'seruas kunyit', '/2 sdt ketumbar', 'daun jeruk', 'secukupnya lengkuas muda', 'secukupnya garam', 'sendok teh gula setngh']",udang
Tumis bayam udang,"['/4 kg udang', 'bawang putih', 'secukupnya garam, gula', 'minyak untuk menumis']",udang
Sop udang simpel,"[', belah punggung', ', iris tipis', ', iris tipis', ', potong serong', 'secukupnya air', 'secukupnya garam dan merica']",udang
Capcay Udang Simple ala Annisa Ellen,"['kubis', 'minyak goreng', 'mentega', 'air', 'bumbu di ulek :', 'secukupnya merica bubuk', 'sepucuk sendok garam']",udang
Sempol Udang Sayur,"['secukupnya penyedap rasa + garam', 'secukupnya lada', 'air untuk rebusan', 'minyak untuk menggoreng']",udang
Nasi Bakar isi Balado udang kentang,"['/4 kg beras putih', '/2 bks santan  larutkan dg air 2 gelas', 'daun pisang dan tusuk gigi', 'balado kentang udang']",udang
Udang saos tiram pedas,"['bawang bombay', 'jahe', 'daun bawang', 'garam', 'merica', 'saos tiram', 'bumbu yg di haluskan:', '/2 buah tomat', 'gula merah']",udang
Tumis buncis udang wortel,"[', potong2 serong', ', serut tebal', '& buntut', ', cincang kasar', ', buang biji potong2 tipis', ', potong2', 'sedikit terasi', 'secukupnya garam & gula']",udang
Udang goreng bawang putih,"['/4 gram udang', '/2 sdt tepung beras', 'minyak utk menggoreng']",udang
Bakwan Udang,"['secukupnya ketumbar', 'secukupnya air', 'secukupnya garam', 'secukupnya micin']",udang
Tumis Phok Coy Udang Wortel Plus Bawang Bombay,"['/2 kg udang', 'kecap manis', 'secukupnya merica', 'secukupnya gula', 'secukupnya garam', 'penyedap rasa', 'sedikit air']",udang
Bakwan sayur saos petis udang,"['/4 wortel', '/4 kol / kubis', '/2 kg tepung terigu', 'bahan petis', '/2 sdt penyedap']",udang
Bakwan sayuran n udang,"['sckpnya udang', 'bumbu halus :', '/4 sdt lada', '-4 bawang putih', 'sckpnya garam', 'sckpnya air']",udang
Udang balado pedas,"['/2 kg udang bersihkan', 'bumbu halus:', 'secukupnya gula', 'secukupnya garam', 'secukupnya kaldu bubuk ayam', 'sedikit air', 'sedikit merica bubuk', 'secukupnya gula', 'secukupnya garam', 'secukupnya kaldu bubuk ayam', 'sedikit air', 'sedikit merica bubuk']",udang
Udang Crispy Saos Kerang,"['udang crispy ¼ kg (silahkan lihat resep udang crispy', '/4 kg kerang kupas', 'merica bubuk', '/2 botol saos tomat', 'maizena', 'secukupnya gula & garam']",udang
Udang saos tiram asam manis,"['/2 kg udang galah, buang kepala', 'bumbu:', 'sejumput jari lada butiran', ', potong2 dan haluskan kasar', 'seledri iris kecil2', 'saos tiram, saos tomat, saos sambal dan kecap manis']",udang
Udang saus telor asin,"['/4 ruas jahe', '/4 bawang bombay', 'lada', 'garam', 'garlic powder']",udang
Botok jamur tahu udang,"['/2 biji kelapa parut', 'daun pisang secukup nya', 'bumbu halus', 'sedikit jahe', 'sedikit kunyit', 'sedikit lengkuas', 'sedikit kencur', 'garam', 'gula', 'msg kalau perlu aku ngk pakai']",udang
Sambal goreng udang buncis,"['/4 kg udang , buang kepala dan ekornya', '/2 kg buncis , potong seruas jari', 'bumbu :', 'salam, laos, serai, daun jeruk']",udang
Nasi Goreng Udang Oriental,"[', haluskan', ', haluskan', 'margarin', 'garam', 'merica']",udang
Balado Kentang Udang,"['/2 kg kentang', '/4 udang', 'cabe rawit keriting dan cabe syaiton', 'minyak utk menumis']",udang
Sambal Gami Udang,"['/2 kg udang', 'bumbu sambal 👇', '/2 bungkus terasi abc', 'secukupnya gula dan garam', 'minyak goreng']",udang
Udang Asam Manis Glowing,"['/2 kg udang', 'kunyit bubuk', 'garam', 'penyedap rasa', 'air asam jawa']",udang
Gulai udang dengan daun ubi,"['/peci yg sedang/besar', '/2 kg kelapa tua, parut', 'bahan bumbu halus :', 'sejempol lengkuas/laos', 'sejempol jahe', 'seruas kunyit', 'garam']",udang
Udang goreng tepung,['secukupnya air'],udang
Udang galah goreng,"['minyak goreng', 'secukupnya garam']",udang
Shrimp with salted-egg sauce,"['/2 btg daun bawang', 'susu full cream/plain', 'secukupnya gula, garam, merica']",udang
Cilok udang sederhana ala anak rantau,"['penyedap rasa', 'air panas']",udang
Dimsum Ayam Udang Kukus,"['kulit lumpia', '/2 sendok lada bubuk', 'secukupnya garam', 'wortel parut']",udang
Udang balado,"['/2 kg udang', 'bumbu halus:', 'sesuai selera cabe rawit', 'garam', 'gula']",udang
Mie Goreng Udang By Bunda Les,"[',rebus dgn sedikit minyak,tiriskan', 'kol secukupnya,iris halus', 'sedikit kecap', 'bumbu halus', 'sedikit garam untuk memudahkan mengulek', 'sedikit lada halus', 'minyak goreng untuk menumis']",udang
Bakwan Sayur dan Udang,"[',serut korek api', 'kol diiris halus', ',iris halus', ',iris halus', ',dipipil trus ditekan pelan dgn cobek', 'sedikit lada halus', 'bumbu halus', 'sedikit garam untuk memudahkan mengulek bumbu', 'secukupnya minyak goreng', 'air matang']",udang
Tumis Buncis Udang,"['/4 kg udang kupas', 'gula pasir', 'garam', 'bila perlu kaldu bubuk', 'sedikit air', 'bumbu uleg :', '-2 btr kemiri', 'sejumput merica']",udang
Udang Goreng Saus Padang,"[', buang kepalanya, cuci bersih, lumuri jeruk nipis', ', iris', ', iris', ', iris', ', geprek/memarkan', '/2 sdt garam', '/2 sdm merica', ', iris', ', iris']",udang
Tumis Wortel jagung udang,"['/4 udang', 'secukupnya bawang merah bawang putih', 'secukupnya cabe rawit dan cabe merah']",udang
Udang Saus Tiram,"['/2 kg udang ukuran sedang', 'bumbu halus :', 'bahan lainnya :', 'gula merah sisir 1 sdm', 'secukupnya garam', 'daun bawang iris besar', 'bawang bombay iris panjang', 'minyak untuk menumis']",udang
Ampal udang debm,"['/2 sdt ketumbar', 'secukupnya garam']",udang
Sate Udang Goreng,"['-8 ekor udang', '-6 siung bawang putih', '/2 buah jeruk nipis', 'tusuk sate', 'secukupnya penyedap, garam']",udang
Mie goreng udang sosis,"[', cincang halus', ', cincang halus', ', kocok', '/daun bawang, potong2', 'secukupnya sosis, potong2', 'secukupnya udang', '/2 sdm kecap asin', '/2 sdm saus tiram', '/2 sdm saus inggris', 'secukupnya garam gula merica', 'secukupnya kaldu jamur']",udang
Tumis jagung udang papay,"['sesuai selera udang papay , kalo mau pakai teri lebih enek']",udang
Pare Nenek Udang,"[', iris tipis', 'bumbu halus :', '/2 ruas kunyit', '/4 ruas jahe', '/4 sdt terasi', 'bumbu tambahan :', ', iris tipis', ', iris tipis', 'kecap manis', 'garam', 'gula pasir', 'gula merah']",udang
Udang Goreng Tepung Pedas,"['/4 udang buang kulit dan kepala', 'tepung serbaguna crispy original', 'minyak goreng']",udang
Balado udang pete,"['bahan halus:', 'secukupnya garam', 'secukupnya air', 'secukupnya sasa']",udang
Udang kuah bumbu,"['/2 kg udang', 'sedikit jahe', 'secukupnya lada bubuk', 'secukupnya garam', 'secukupnya gula & penyedap rasa']",udang
Udang nugget balado,"['secukupnya air', 'secukupnya garam', 'secukupnya penyedap']",udang
Pepes udang kemangi,"[',dihaluskan', 'sesuai selera cabe', 'segenggam kemiri', 'sesuai selera garam', 'sesuai selera daun kemangi', 'daun pisang untuk membungkus']",udang
Sayur tumis pakis udang,"['/pakis', 'udang yang ukuran kecil2', 'minyak untuk menumis', 'sedikit air', 'garam', 'gula', 'saus tiram']",udang
Udang Pete Saos Tiram Pedes,"['/2 kg udang', 'pete', 'minyak gorang', 'bumbu halus', 'sesuka hati cabai merah dan cabai rawit']",udang
Udang Saos Barbeque,"['/2 sdm kecap manis', 'garam', 'gula', 'merica', 'secukupnya air']",udang
Martabak Mini Tahu Udang,"['secukupnya kulit lumpia', ', bisa telur bebek', ', rebus dengan sedikit garam', 'secukupnya udang, bersihkan cangkang2nya', 'secukupnya daun bawang dan seledri', 'secukupnya garam, lada bubuk, dan kaldu jamur', 'minyak untuk menggoreng']",udang
Udang Teriyaki,[],udang
Udang goreng Tepung saus Asam Manis,"[', bersihkan,cuci, tiriskan', 'bahan pelapis :', ', instan', '/4 sdt masing2 garam dan merica', ', kocok asal', '- 60 ml air matang', 'saus asam manis :', ', rebus, buang kulitnya', '/2 buah buah nanas', '/2 batang wortel, potong bentuk korek api', '/sambal tomat', '/2 sdt masing2 merica dan gula pasir', '+1 sdm air, untuk pengental kuah']",udang
Udang saus bakso pedas manis,"['secukupnya air', 'secukupnya royco sapi']",udang
Sup Tahu Udang Pedas,"['secukupnya garam', 'secukupnya lada halus', 'secukupnya kaldu jamur', 'secukupnya minyak goreng', 'secukupnya susu putih']",udang
Pergedel Kentang Udang,"['/2 kg kentang', 'secukupnya saledri', '/2 sdt ketumbar', 'sedikit pala', 'secukupnya udang /diptong kecil kecil', '/2 sdk teh lada', 'secukupnya royko']",udang
Kerupuk udang,"['.1 /2 tepung kanzi', 'secukupnya garam  sm penyedap rasa secukup nya']",udang
