ingredient,calories,protein,fat,carbohydrates,fiber,calcium
jahe. segar,51,1.5,1.0,10.1,12.0,21.0
kemiri,675,19.0,63.0,8.0,3.0,80.0
ketumbar. kering,418,14.1,16.1,54.2,12.3,630.0
kluwek,310,10.0,24.0,13.5,0.0,40.0
kunyit. segar,69,2.0,2.7,9.1,0.6,24.0
merica. kering,365,11.5,6.8,64.4,1.0,460.0
pala. biji. kering,518,7.5,36.4,40.1,3.5,120.0
kelapa muda. air. segar,17,0.2,0.1,3.8,0.0,15.0
lemak babi (lard),902,0.0,100.0,0.0,0.0,0.0
lemak babi (bacon),626,9.1,65.0,1.1,0.0,13.0
lemak ikan,372,12.0,29.4,14.4,0.0,20.0
lemak kerbau (lemak sapi),818,1.5,90.0,0.0,0.0,0.0
minyak hiu. hati,902,0.0,100.0,0.0,0.0,0.0
minyak ikan,902,0.0,100.0,0.0,0.0,0.0
minyak kacang tanah,902,0.0,100.0,0.0,0.0,0.0
minyak kedelai,883,0.0,99.9,0.0,0.0,0.0
minyak kelapa,870,1.0,98.0,0.0,0.0,0.0
minyak kelapa sawit,884,0.0,100.0,0.0,0.0,0.0
minyak wijen,881,0.2,99.7,0.0,0.0,10.0
minyak zaitun,884,0.0,100.0,0.0,0.0,14.0
coklat manis. batang,527,2.0,29.8,62.7,6.5,63.0
coklat pahit.batang,615,5.5,42.6,29.2,10.8,98.0
coklat susu. batang,565,9.0,35.0,53.6,3.4,200.0
coklat bubuk,311,8.0,4.0,48.9,32.6,125.0
gula aren,368,0.0,0.0,92.0,0.0,75.0
gula kelapa,386,3.0,10.0,76.0,0.0,76.0
gula putih,394,0.0,0.0,94.0,0.0,5.0
jam. selai,239,0.5,0.6,64.5,1.0,20.0
kopi bubuk instant,129,12.3,0.5,35.0,0.0,179.0
madu,294,0.3,0.0,79.5,0.2,5.0
markisa squash,217,2.5,1.0,49.6,0.0,6.0
markisa squash. bd,104,1.2,0.5,23.7,0.0,1.0
melase,276,0.0,0.1,71.0,0.0,6.0
sirup,213,0.0,0.0,55.0,0.0,0.0
sirup pirous,228,0.2,0.4,55.9,0.0,470.0
teh hijau daun kering,300,28.3,4.8,53.6,9.6,245.0
teh hitam daun kering,293,24.5,2.8,58.8,8.7,327.0
teh melati daun kering,299,24.1,3.5,59.0,9.7,320.0
balichong,152,13.2,0.8,22.9,1.5,380.0
bekasam,116,11.9,4.9,6.1,3.5,704.0
bekasang,78,11.4,2.0,3.6,0.4,54.0
cuka,21,0.1,0.1,5.0,0.0,7.0
kecap,71,5.7,1.3,9.0,0.0,123.0
petis ikan,165,20.0,0.2,20.8,0.0,37.0
petis udang kering,345,23.8,1.4,59.3,0.0,221.0
petis udang pasta,220,15.0,0.9,38.0,2.3,37.0
saos tomat,110,2.0,0.4,24.5,0.9,12.0
tempoya,110,1.7,1.3,21.9,2.6,190.0
telur bebek. asin. mentah,179,13.6,13.3,4.4,0.0,120.0
telur bebek. dadar. masakan,301,20.0,23.7,0.0,0.0,71.0
ikan. telur. asin. mentah,358,20.7,26.4,9.4,0.0,48.0
bayau mi balu. masakan,313,6.0,12.2,44.8,0.0,0.0
cucuru bayau. masakan,349,6.8,18.7,38.3,0.0,0.0
kalio telur. masakan,193,10.6,12.4,9.7,0.0,148.0
telur ayam kampung. segar,174,10.8,14.0,1.2,0.0,68.0
telur ayam ras. segar,154,12.4,10.8,0.7,0.0,86.0
telur ayam ras. bagian kuning. segar,355,16.3,31.9,0.7,0.0,147.0
telur ayam ras. bagian putih. segar,50,10.8,0.0,0.8,0.0,6.0
telur bebek alabio. segar,187,11.8,14.2,3.0,0.0,60.0
telur bebek. bagian kuning. segar,386,17.0,35.0,0.8,0.0,150.0
telur bebek. bagian putih. segar,54,11.0,0.0,0.8,0.0,21.0
telur bebek tambak. segar,187,10.9,12.4,7.9,0.0,64.0
telur burung maleo. segar,436,26.5,36.3,0.4,0.0,154.0
telur penyu. segar,136,8.6,10.1,2.7,0.0,66.0
telur burung puyuh. segar,116,10.7,7.0,1.6,0.0,65.0
es krim,210,4.0,12.5,20.6,0.0,123.0
hangop,65,10.0,1.0,3.5,0.0,180.0
keju,326,22.8,20.3,13.1,0.0,777.0
kwark (quark),242,19.0,17.0,3.0,0.0,300.0
susu asam untuk bayi. bubuk,418,19.0,9.0,65.5,0.0,800.0
susu bubuk,513,24.6,30.0,36.2,0.0,904.0
susu kental manis,343,8.2,10.0,55.0,0.0,275.0
susu kental tak manis,138,7.0,7.9,9.9,0.0,243.0
susu skim. bubuk,359,35.6,1.0,52.0,0.0,1.3
susu skim. segar,36,3.5,0.1,5.1,0.0,123.0
yoghurt. segar,52,3.3,2.5,4.0,0.0,120.0
kepala susu - krim. segar,204,2.6,20.0,4.0,0.0,97.0
susu ibu - asi,62,1.5,3.2,7.0,0.0,34.0
susu kambing. segar,64,4.3,2.3,6.6,0.0,98.0
susu kerbau. segar,160,6.3,12.0,7.1,0.0,216.0
susu kuda. segar,40,2.0,1.1,5.4,0.0,0.0
susu sapi. segar,61,3.2,3.5,4.3,0.0,143.0
margarin,720,0.6,81.0,0.4,0.0,20.0
mentega,742,0.5,81.6,1.4,0.0,15.0
santan (dengan air),122,2.0,10.0,7.6,1.4,25.0
santan murni,324,4.2,34.3,5.6,0.0,14.0
kelapa setengah tua. daging. segar,180,4.0,15.0,10.0,2.4,8.0
kelapa tua. daging. segar,359,3.4,34.7,14.0,4.7,21.0
ikan layang. segar,109,22.0,1.7,0.0,0.0,50.0
ikan layur. segar,82,18.0,1.0,0.4,0.0,48.0
ikan lehoma. segar,90,20.4,0.9,0.0,0.0,88.0
ikan lemuru. segar,112,20.0,3.0,0.0,0.0,20.0
ikan lidah. segar,104,15.6,3.2,2.0,0.0,30.0
lokan. segar,217,11.0,1.7,5.1,0.0,20.0
ikan malalugis. segar,99,20.6,1.4,0.9,0.0,164.0
ikan mamar merah. segar,115,15.3,4.0,4.4,0.0,60.0
ikan mas. segar,86,16.0,2.0,0.0,0.0,20.0
ikan mayong. segar,97,17.9,2.0,0.4,0.0,40.0
ikan mujahir. segar,89,18.7,1.0,0.0,0.0,96.0
ikan nasu metti. segar,154,16.8,5.0,10.5,0.0,80.0
ikan paling. segar,303,14.0,27.0,0.0,0.0,20.0
ikan papuyu/ betok. segar,120,14.3,4.9,4.6,0.0,329.0
ikan patin. segar,132,17.0,6.6,1.1,0.0,31.0
ikan pomo. segar,147,22.5,5.2,2.6,0.0,80.0
ikan puntin. segar,76,14.4,1.1,2.2,0.0,28.0
rajungan. segar,76,12.1,2.0,2.4,0.0,721.0
rebon. udang kecil. segar,81,16.2,1.2,0.7,0.0,757.0
ikan saluang. segar,113,13.9,4.9,3.4,0.0,642.0
ikan sarden. segar,109,19.9,1.8,3.4,0.0,95.0
ikan selar. segar,100,18.8,2.2,0.0,0.0,40.0
ikan sepat. segar,84,15.2,0.6,4.7,0.0,68.0
ikan sidat. segar,81,11.4,1.9,3.8,0.0,118.0
ikan sunu. segar,111,13.3,3.4,6.7,0.0,86.0
ikan tahuman. segar,88,15.9,0.9,4.1,0.0,221.0
ikan sale. segar,534,40.2,39.3,4.9,2.0,199.0
ikan tarmon. segar,96,19.5,1.1,2.0,0.0,9.0
ikan telan. segar,95,15.8,0.7,6.5,0.0,503.0
ikan tembang. segar,204,16.0,15.0,0.0,0.0,20.0
ikan tempahas. segar,101,15.1,4.1,1.0,0.0,32.0
ikan terbang. segar,98,19.6,1.7,1.0,0.0,90.0
ikan teri. segar,74,10.3,1.4,4.1,0.0,972.0
ikan titang. segar,82,17.4,0.4,2.3,0.0,145.0
ikan tongkol. segar,100,13.7,1.5,8.0,0.0,92.0
ikan turi. segar,96,19.2,2.0,0.2,0.0,340.0
udang. besar. segar,56,11.4,0.6,1.2,0.0,30.0
udang galah. segar,81,16.5,0.3,3.0,0.0,87.0
udang. segar,91,21.0,0.2,0.1,0.0,136.0
telur ayam. dadar. masakan,251,16.3,19.4,1.4,0.0,62.0
ikan baronang. segar,78,14.5,0.6,3.7,0.0,26.0
ikan batung. segar,115,14.5,4.6,4.2,0.0,0.0
ikan baung. segar,123,15.1,5.5,3.3,0.0,5.0
ikan bawal. segar,91,19.0,1.7,0.0,0.0,20.0
ikan belida. segar,80,14.7,1.4,2.2,0.0,303.0
belut. segar,70,14.6,0.8,1.0,0.0,49.0
belut.laut. segar,93,12.8,1.5,6.1,0.0,60.0
ikan beunteur. segar,109,17.0,4.0,0.0,0.0,500.0
ikan biawan. segar,90,14.9,2.5,2.1,0.0,125.0
ikan bili. segar,88,14.2,0.7,6.2,0.0,27.0
ikan bubara. segar,100,14.7,2.4,4.9,0.0,90.0
ikan bulan-bulan. segar,134,25.5,1.3,5.0,0.0,29.0
ikan. cakalang. segar,107,19.6,0.7,5.5,0.0,23.0
ikan cakalang. hati. segar,120,11.3,3.9,10.0,0.0,30.0
ikan cakalang. jantung. segar,116,11.2,1.2,10.2,0.0,10.0
ikan cakalang. perut. segar,86,10.2,1.1,8.7,0.0,20.0
cumi-cumi. segar,75,16.1,0.7,0.1,0.0,32.0
ikan daun. segar,101,11.5,4.1,4.6,0.0,80.0
ikan ekor kuning. segar,108,22.3,1.2,2.1,0.0,30.0
ikan gabus. segar,80,16.2,0.5,2.6,0.0,170.0
ikan heu. segar,81,10.0,1.6,6.6,0.0,1.91
ikan hitam. segar,101,10.3,3.7,6.7,0.0,50.0
ikan hiu. segar,57,10.7,0.3,2.2,0.0,75.0
ikan kacangan. segar,77,15.6,0.9,1.6,0.0,94.0
ikan kakap. segar,92,20.0,0.7,0.0,0.0,20.0
ikan kakatua. segar,82,11.4,1.2,6.4,0.0,20.0
ikan kalaban. segar,77,16.4,0.7,1.3,0.0,182.0
ikan kamera. segar,86,19.7,0.8,0.0,0.0,50.0
ikan kapar. segar,132,17.0,6.7,0.8,0.0,151.0
ikan kawalinya. segar,110,12.6,4.2,5.4,0.0,80.0
ikan oci. kembung. segar,125,21.3,3.4,2.2,0.0,136.0
keong. segar,64,12.0,1.0,2.0,0.0,217.0
kepiting. segar,151,13.8,3.8,14.1,0.0,210.0
kerang. segar,101,14.4,2.6,3.9,0.0,321.0
ikan keru-keru. segar,93,16.5,2.1,0.8,0.0,65.0
ikan kima. segar,70,10.8,0.7,5.2,0.0,53.0
kodok. segar,73,16.4,0.3,0.0,0.0,18.0
kura-kura. segar,83,19.1,0.2,0.0,0.0,27.0
kuro. segar,87,16.0,2.2,1.0,0.0,75.0
ikan lais. segar,161,11.9,11.5,2.4,0.0,70.0
fillet o-fish,270,12.3,15.9,19.3,0.2,239.0
gete kuah asam. masakan,75,8.2,2.0,6.0,0.0,1.62
gulai asam keueung. masakan,52,10.0,0.5,1.8,0.0,62.0
gulai ikan paya. masakan,148,10.0,9.8,5.0,0.0,103.0
gulai ikan. masakan,106,16.5,3.3,2.5,0.0,306.0
gulai keumamah. masakan,110,5.9,8.2,3.2,0.0,32.0
gulai tiram. masakan,132,9.0,7.2,7.8,0.0,53.0
gurame asem manis. masakan,192,12.7,10.1,12.7,0.0,283.0
ikan asar merah. masakan,146,17.7,5.9,5.6,0.0,100.0
jambal goreng,286,48.5,9.2,2.3,0.0,207.0
jukku pallu kaloa. masakan,15,15.2,4.3,8.8,0.0,40.0
kaholeo. masakan,413,28.7,19.8,29.8,0.0,909.0
lawara penjah. masakan,207,7.4,15.4,9.6,0.0,114.0
model. masakan,79,2.2,4.0,8.6,0.0,8.0
mujahir acar kuning. masakan,330,17.8,23.4,12.1,1.1,154.0
parede baleh. masakan,87,10.5,2.5,5.5,0.0,35.0
pempek adaan,162,4.9,3.0,27.8,0.0,26.0
pempek belida,156,4.2,1.4,31.6,0.2,100.0
pempek kapal selam,152,4.5,2.3,28.2,0.0,19.0
pempek kelesan,211,12.3,6.1,26.6,0.4,840.0
pempek kulit,243,5.2,7.3,39.1,0.0,16.0
pempek telur,156,4.7,2.7,28.3,0.0,13.0
pempek tenggiri,173,7.2,1.2,33.4,0.2,164.0
pencok lele. masakan,372,7.8,36.3,3.5,0.0,289.0
pinda. masakan,107,15.9,0.6,0.4,0.0,375.0
pindang kenari. masakan,124,9.5,9.6,0.0,0.0,120.0
saboko gurita. masakan,87,15.7,1.5,2.6,0.0,60.0
saboko saltan. masakan,113,17.1,3.6,3.0,0.0,240.0
saboko sardin. masakan,110,12.9,4.3,4.9,0.0,220.0
sate bandeng,283,12.1,16.8,20.9,2.0,118.0
sepi. masakan,88,7.9,1.6,10.6,0.0,924.0
tekwan,53,1.9,0.9,9.4,0.0,9.0
teri balado. masakan,365,23.7,22.3,17.5,0.0,869.0
tumis bandeng,189,11.3,15.7,0.6,0.0,56.0
tumis keumamah,300,14.5,20.0,15.5,4.5,0.0
ikan bader. segar,193,19.0,13.0,0.0,0.0,48.0
ikan balong. segar,107,16.5,3.9,1.5,0.0,54.0
ikan bambangan. segar,112,20.0,1.3,3.7,0.0,98.0
ikan bandeng. segar,123,20.0,4.8,0.0,0.0,20.0
ikan banjar. segar,111,19.4,0.9,4.8,0.0,68.0
ikan mujahir pepes,121,21.7,2.8,0.8,0.0,83.0
ikan mujahir. dendeng. mentah,582,68.3,15.2,37.2,0.0,3.258
ikan papuyu. bakar,152,17.6,6.1,6.7,0.0,244.0
ikan patin. bakar,144,17.5,6.3,4.3,0.0,191.0
ikan peda banjar. mentah,156,28.0,4.0,2.0,0.0,174.0
ikan pepetek. mentah,176,32.0,4.4,2.0,0.0,120.0
ikan pindang banjar. mentah,157,28.0,4.2,1.8,0.0,50.0
ikan pindang benggol. mentah,170,31.0,4.2,0.0,0.0,50.0
ikan pindang layang. mentah,153,30.0,2.8,0.0,0.0,60.0
ikan pindang selar. mentah,142,27.0,3.0,0.0,0.0,60.0
ikan sale lais. mentah,415,61.3,17.6,2.9,0.0,258.0
ikan saluang. kering. mentah,284,34.1,9.9,14.6,0.0,1.426
ikan sanggang. masakan,240,21.7,7.7,20.7,0.0,159.0
ikan selar kuning. cue. mentah,138,27.0,3.3,0.0,0.0,50.0
ikan selar. kering. mentah,194,38.0,3.5,0.0,0.0,20.0
ikan sepat. kering. mentah,289,38.0,14.0,0.0,0.0,40.0
ikan sunu. asin. mentah,199,34.1,3.8,7.1,0.0,94.0
ikan. tepung. mentah,316,60.1,6.5,22.4,0.0,3.196
ikan teri nasi. kering. mentah,144,32.5,0.6,0.0,0.0,1.0
ikan teri. bubuk. mentah,277,60.0,2.3,1.8,0.0,1.209
ikan teri. kering. mentah,170,33.4,3.0,0.0,0.0,1.2
ikan teri. kering. tawar. mentah,331,68.7,4.2,0.0,0.0,2.381
ikan teri. tepung. mentah,347,48.8,6.4,19.6,0.0,4.608
kerang. asap. mentah,393,38.9,13.3,29.4,0.0,420.0
kerang. dendeng. mentah,357,41.1,10.0,25.6,0.0,217.0
rebon. kering. mentah,299,59.4,3.6,3.2,0.0,2.306
rebung laut. mentah,320,7.2,4.2,63.3,0.0,240.0
rusip,110,11.5,2.0,11.7,0.0,479.0
sardines dalam kaleng,338,21.1,27.0,1.0,0.0,354.0
teripang. dendeng. mentah,462,39.1,32.4,3.5,0.0,499.0
udang kering. mentah,278,62.6,4.1,2.2,0.0,760.0
udang papay. mentah,273,47.8,3.8,12.5,0.0,1.109
abon haruwan,513,23.7,37.0,21.3,0.0,25.0
abon ikan,435,27.2,20.2,36.1,0.0,0.0
betok wadi. masakan,145,16.3,7.0,4.1,0.0,405.0
bou ninahu ndamate. masakan,79,6.3,1.0,1.1,0.0,0.0
bouiki ninahu nggaluku. masakan,94,7.8,2.2,10.8,0.0,0.0
cakalang asar (asap papua),155,20.1,3.8,10.2,0.0,20.0
dendeng belut. goreng,382,55.7,14.1,8.0,0.0,1.069
dendeng mujahir. goreng,598,74.3,26.9,9.2,0.0,1.957
burung. sarang. segar,281,37.5,0.3,32.1,0.0,485.0
domba. daging. gemuk. segar,317,15.7,27.7,0.0,0.0,9.0
domba. daging. kurus. segar,202,17.1,14.8,0.0,0.0,10.0
domba. ginjal. segar,100,16.6,3.3,1.0,0.0,13.0
kambing. daging. segar,149,16.6,9.2,0.0,0.0,11.0
kelinci. daging. segar,142,16.9,7.8,0.0,0.0,7.0
kerbau. daging. segar,79,18.7,0.5,0.0,0.0,14.0
kuda. daging. segar,113,18.1,4.1,0.9,0.0,10.0
sapi. babat. segar,108,17.6,4.2,0.0,0.0,12.0
sapi. daging. gemuk. segar,273,17.5,22.0,0.0,0.0,10.0
sapi. daging. kurus. segar,174,19.6,10.0,0.0,0.0,11.0
sapi. daging. lemak sedang. segar,201,18.8,14.0,0.0,0.0,11.0
sapi. daleman. segar,183,12.0,14.4,1.4,0.0,43.0
sapi. dideh/darah,98,21.9,1.1,0.0,0.0,7.0
sapi. ginjal. segar,137,15.0,8.1,0.9,0.0,9.0
sapi. keleponan. segar,84,10.5,4.6,0.2,0.0,20.0
sapi. liver. segar,132,19.7,3.2,6.0,0.0,7.0
sapi. otak. segar,123,10.4,8.6,0.8,0.0,16.0
sapi. usus. segar,126,14.0,7.2,1.5,0.0,14.0
ulat sagu segar,241,5.8,21.6,5.8,2.8,20.0
bekicot. dendeng. mentah,441,48.7,20.3,15.8,0.0,692.0
belut. goreng,417,25.9,19.4,32.0,0.0,840.0
cumi-cumi. goreng,265,40.6,10.1,0.0,0.0,62.0
ikan asin. kering,193,42.0,1.5,0.0,0.0,200.0
ikan bandeng presto. masakan,296,17.1,20.3,11.3,0.0,1.422
ikan baung bakar,144,17.8,5.8,5.2,0.0,18.0
ikan belida bakar,128,18.0,3.0,7.2,0.0,58.0
ikan cakalang asap. mentah,204,34.2,5.6,1.9,0.0,14.0
ikan cakalang asin. mentah,198,36.5,2.2,5.5,0.0,236.0
ikan calo/ peda. mentah,81,11.4,1.9,3.8,0.0,743.0
ikan gabus asap. mentah,261,38.1,2.3,21.9,0.0,2.51
ikan gabus. kering,268,58.0,4.0,0.0,0.0,15.0
ikan gete. goreng,267,23.1,19.4,0.2,0.0,2.34
ikan hiu. kering,298,46.3,3.6,20.2,0.0,335.0
ikan katombo. asin,162,31.7,2.8,0.3,0.0,279.0
ikan kayu. kering,302,70.7,1.9,0.4,0.0,313.0
ikan lais bakar,147,17.5,6.5,5.4,0.0,54.0
ikan lomak asin. mentah,258,40.3,2.3,18.9,0.0,140.0
ikan mas pepes,209,15.2,11.3,11.8,0.5,686.0
ikan mujahir goreng,416,46.9,23.9,0.0,0.0,346.0
rw. anjing. masakan,198,24.6,10.7,0.9,0.0,1.071
sate. penyu. masakan,179,22.5,3.5,13.3,0.0,187.0
sate pusut. masakan,274,12.9,18.6,13.6,0.0,63.0
penyu. serapah. masakan,174,13.1,12.2,2.2,0.0,72.0
sie reuboh. masakan,474,11.2,42.5,11.7,0.0,26.0
sop buntut. masakan,71,7.5,3.6,2.2,0.0,286.0
sop daging sapi. masakan,49,5.8,0.5,5.3,0.0,158.0
sop kaki sapi. masakan,68,9.0,1.9,3.7,0.0,302.0
sop kambing. masakan,34,5.5,0.8,1.1,0.0,145.0
sop konro. masakan,71,7.4,2.6,4.5,0.0,17.0
sop saudara. masakan,89,7.2,5.0,3.9,0.0,10.0
soto bandung. masakan,42,3.9,1.7,2.8,0.4,74.0
soto banjar. masakan,110,2.9,9.5,3.2,0.0,28.0
soto betawi. masakan,135,2.5,8.8,11.5,0.5,222.0
soto jeroan. masakan,92,11.8,4.3,1.4,0.0,218.0
soto kudus. masakan,38,2.6,2.3,1.8,0.2,237.0
soto madura. masakan,60,3.5,4.5,1.3,0.0,361.0
soto padang. masakan,127,5.9,6.6,11.0,0.7,298.0
soto pekalongan. masakan,94,3.0,6.8,5.1,0.3,322.0
soto pemalang. masakan,75,3.6,5.2,3.5,0.0,170.0
soto sukaraja. masakan,80,3.2,3.5,9.0,0.3,347.0
soto sulung. masakan,86,2.3,8.5,0.0,0.0,200.0
sukiyaki. masakan,75,5.6,0.4,12.2,0.2,109.0
tedong pallu basa. masakan,83,10.4,3.4,2.8,0.0,10.0
tikus rica. masakan,257,18.8,18.5,3.8,0.0,232.0
tinoransa. masakan,516,17.7,49.5,0.0,0.0,698.0
anak sapi. daging. gemuk. segar,184,18.8,14.0,0.0,0.0,10.0
anak sapi. daging. kurus. segar,174,19.6,10.0,0.0,0.0,11.0
anak sapi. daging. sedang. segar,190,19.1,12.0,0.0,0.0,11.0
angsa. daging. segar,349,16.4,31.5,0.0,0.0,15.0
ayam. daging. segar,298,18.2,25.0,0.0,0.0,14.0
ayam. dideh/darah. segar,75,13.8,1.9,0.7,0.0,15.0
ayam. hati. segar,261,27.4,16.1,1.6,0.0,118.0
babi. daging. gemuk.segar,453,11.9,45.0,0.0,0.0,7.0
babi. daging. kurus. segar,371,14.1,35.0,0.0,0.0,8.0
babi. ginjal. segar,110,16.3,4.6,0.8,0.0,11.0
babi. hati. segar,129,19.7,4.8,1.7,0.0,10.0
bebek (itik). daging. segar,321,16.0,28.6,0.0,0.0,15.0
bebek alabio. daging. segar,303,11.3,27.0,3.7,0.0,20.0
belibis. daging. segar,131,20.2,4.3,2.8,0.0,8.0
ayam goreng church texas. sayap,295,34.0,16.0,1.5,0.0,81.0
ayam goreng kalasan. paha,275,37.4,12.2,1.3,0.0,116.0
ayam goreng kentucky. dada,298,34.2,16.8,0.1,0.0,90.0
ayam goreng kentucky. paha,286,32.1,16.1,1.1,0.0,89.0
ayam goreng kentucky.sayap,297,35.9,15.2,1.6,0.0,103.0
ayam goreng mbok berek dada,295,39.2,13.6,1.0,0.0,114.0
ayam goreng pasundan. dada,246,37.9,9.0,0.7,0.0,90.0
ayam goreng pasundan. paha,245,33.1,11.4,0.3,0.0,90.0
ayam goreng pioneer. dada,295,37.4,14.7,0.6,0.0,108.0
ayam goreng sukabumi. dada,244,36.7,9.2,1.0,0.0,81.0
ayam goreng sukabumi. paha,283,35.7,14.3,0.5,0.0,68.0
ayam taliwang. masakan,264,18.2,20.1,2.7,0.0,94.0
babi hutan masak rica. masakan,491,24.6,16.3,0.2,0.0,18.0
beef burger,258,10.6,9.5,32.5,0.4,210.0
beef teriyaki. masakan,151,8.6,3.1,22.3,0.3,142.0
beef yakiniku. masakan,132,9.8,1.1,20.7,0.3,302.0
brongkos,141,15.3,3.3,12.6,1.0,87.0
bulgogi. masakan,72,11.4,4.9,1.4,1.7,214.0
chicken teriyaki. masakan,168,13.0,9.6,7.5,0.8,137.0
chikiniku. masakan,143,9.8,1.4,22.8,0.4,301.0
coto mangkasara. kuda. masakan,96,6.8,5.9,3.8,0.0,11.0
coto mangkasara. sapi. masakan,84,6.0,6.0,1.4,0.0,8.0
djibokum. masakan,248,10.0,2.3,40.9,0.1,116.0
empal (daging) goreng. masakan,248,36.2,6.9,10.1,0.0,131.0
gulai kambing,126,4.2,9.4,6.2,0.0,45.0
jangang bintatoeng. masakan,107,5.3,2.2,16.5,0.0,64.0
kalio ayam. masakan,203,16.0,13.5,4.4,0.0,278.0
kalio jeroan. masakan,163,16.5,9.0,4.1,0.0,102.0
kalio kikil (tunjang). masakan,122,13.8,5.7,3.9,0.0,154.0
kalio otak. masakan,157,8.1,8.8,11.4,0.0,212.0
lawar babi. masakan,174,17.0,10.0,3.0,0.0,61.0
lawar penyu. masakan,141,23.0,1.5,7.6,0.0,69.0
lawara jangang. masakan,159,5.0,10.9,10.1,0.0,57.0
naan maran sapi. masakan,478,38.3,33.9,5.1,0.0,30.0
nasu likku. masakan,196,14.5,8.3,15.9,0.0,69.0
oramu ninahu ndawa olaho. masakan,117,13.7,5.0,4.3,0.0,964.0
paniki masak santan. masakan,460,28.5,35.2,7.2,0.0,188.0
pelolah manuk. masakan,219,19.7,13.6,4.4,0.0,33.0
rawon. masakan,60,5.4,2.5,4.0,0.3,272.0
rendang sapi. masakan,193,22.6,7.9,7.8,0.0,474.0
rambutan. segar,69,0.9,0.1,18.1,0.8,16.0
salak bali. segar,57,0.5,0.1,13.6,1.3,94.0
salak medan. segar,55,0.4,0.2,12.8,3.2,6.0
salak pondoh. segar,87,0.8,0.4,20.1,0.0,38.0
salak. segar,77,0.4,0.0,20.9,0.0,28.0
sawo duren. segar,64,1.0,3.1,8.0,0.8,18.0
